CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",62157933
32900,"Merced, CA (Metropolitan Statistical Area)",7257104
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",260032300
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",3908867
33220,"Midland, MI (Metropolitan Statistical Area)",4096430
33260,"Midland, TX (Metropolitan Statistical Area)",12454083
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",85054981
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",201984144
33540,"Missoula, MT (Metropolitan Statistical Area)",4359050
33660,"Mobile, AL (Metropolitan Statistical Area)",18249217
33700,"Modesto, CA (Metropolitan Statistical Area)",17931977
33740,"Monroe, LA (Metropolitan Statistical Area)",7014001
33780,"Monroe, MI (Metropolitan Statistical Area)",5453367
33860,"Montgomery, AL (Metropolitan Statistical Area)",15614471
34060,"Morgantown, WV (Metropolitan Statistical Area)",6268047
34100,"Morristown, TN (Metropolitan Statistical Area)",3995276
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",7032636
34620,"Muncie, IN (Metropolitan Statistical Area)",3988999
34740,"Muskegon, MI (Metropolitan Statistical Area)",5323635
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",12984585
34900,"Napa, CA (Metropolitan Statistical Area)",7851423
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",13491131
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",87444148
35100,"New Bern, NC (Metropolitan Statistical Area)",5077155
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",44350698
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",92142273
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1346449262
35660,"Niles, MI (Metropolitan Statistical Area)",6326100
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",24941951
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",16557222
36100,"Ocala, FL (Metropolitan Statistical Area)",8219731
36140,"Ocean City, NJ (Metropolitan Statistical Area)",4933737
36220,"Odessa, TX (Metropolitan Statistical Area)",9318819
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",21282348
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",61143668
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",10359603
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",48419568
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",97770400
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",8833910
36980,"Owensboro, KY (Metropolitan Statistical Area)",5058651
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",50250247
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",20649942
37460,"Panama City, FL (Metropolitan Statistical Area)",7184672
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3920541
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",15967607
37900,"Peoria, IL (Metropolitan Statistical Area)",22997806
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",357334898
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",184553567
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",3666700
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",121141131
38340,"Pittsfield, MA (Metropolitan Statistical Area)",6200398
38540,"Pocatello, ID (Metropolitan Statistical Area)",2871304
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",25620720
